step,type,loss,lr,norm,dt_ms,tok_per_sec
405,train,6.264789,3.995704e-04,0.4930,1088.41,60212.61
406,train,6.302253,3.995575e-04,0.4497,1088.82,60189.77
407,train,6.191839,3.995444e-04,0.6067,1088.70,60196.44
408,train,6.227778,3.995311e-04,0.4658,1090.16,60115.79
409,train,6.242666,3.995176e-04,0.4401,1089.51,60151.71
410,train,6.300137,3.995039e-04,0.4250,1089.45,60155.17
411,train,6.146316,3.994901e-04,0.4144,1087.61,60256.73
412,train,6.259045,3.994760e-04,0.5054,1087.39,60268.89
413,train,6.244010,3.994617e-04,0.4526,1088.59,60202.49
414,train,6.193292,3.994473e-04,0.7837,1086.94,60293.82
415,train,6.128160,3.994327e-04,0.7191,1088.35,60215.97
416,train,6.224389,3.994178e-04,0.6696,1088.74,60194.20
417,train,6.201048,3.994028e-04,0.6251,1088.17,60226.00
418,train,6.232459,3.993876e-04,0.5905,1088.29,60219.13
419,train,6.310699,3.993722e-04,0.4560,1087.35,60271.53
420,train,6.184203,3.993566e-04,0.5123,1088.07,60231.58
421,train,6.291413,3.993409e-04,0.6340,1088.53,60206.04
422,train,6.115913,3.993249e-04,0.5834,1088.62,60201.23
423,train,6.164590,3.993087e-04,0.4944,1090.74,60083.72
424,train,6.213292,3.992924e-04,0.5845,1089.10,60174.71
425,train,6.190957,3.992758e-04,0.4051,1089.06,60176.82
426,train,6.115960,3.992591e-04,0.4378,1089.33,60161.65
427,train,6.161789,3.992422e-04,0.3713,1087.30,60274.32
428,train,6.195133,3.992251e-04,0.4196,1088.85,60188.43
429,train,6.138697,3.992078e-04,0.4484,1088.15,60227.16
430,train,6.052360,3.991903e-04,0.5378,1089.51,60151.64
431,train,6.078008,3.991726e-04,0.3753,1086.71,60306.71
