step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
394,7.637465,-1.000000,0.000096,0.2144,979.32,66919.69
395,7.641898,-1.000000,0.000096,0.2217,979.09,66935.30
396,7.638328,-1.000000,0.000096,0.2377,982.00,66737.28
397,7.600715,-1.000000,0.000096,0.2002,984.72,66553.06
398,7.716074,-1.000000,0.000096,0.2761,977.24,67062.58
399,7.640950,-1.000000,0.000095,0.3270,981.19,66792.33
400,7.640092,7.688356,0.000095,0.2297,981.08,66800.14
401,7.764300,-1.000000,0.000095,0.2232,981.84,66748.19
402,7.754233,-1.000000,0.000095,0.2359,983.36,66645.26
403,7.672498,-1.000000,0.000095,0.2849,979.99,66873.87
404,7.773222,-1.000000,0.000095,0.2441,981.08,66799.91
405,7.733299,-1.000000,0.000095,0.2564,984.13,66592.62
406,7.749801,-1.000000,0.000095,0.2239,977.00,67078.88
407,7.644786,-1.000000,0.000095,0.3670,978.06,67006.11
408,7.707899,-1.000000,0.000095,0.1654,983.97,66603.90
409,7.678254,-1.000000,0.000095,0.2491,981.04,66802.66
410,7.744430,-1.000000,0.000095,0.1976,978.91,66947.71
411,7.598012,-1.000000,0.000095,0.2380,982.23,66721.44
412,7.710475,-1.000000,0.000095,0.1795,981.35,66781.54
413,7.700445,-1.000000,0.000095,0.2184,982.27,66718.75
414,7.590786,-1.000000,0.000095,0.3688,978.40,66982.55
415,7.586319,-1.000000,0.000095,0.2260,982.52,66701.67
416,7.713926,-1.000000,0.000095,0.2013,988.84,66275.84
417,7.674039,-1.000000,0.000095,0.1503,978.65,66965.45
418,7.700568,-1.000000,0.000095,0.2089,981.00,66805.13
419,7.753401,-1.000000,0.000095,0.2430,982.50,66703.12
420,7.679912,-1.000000,0.000095,0.2225,977.88,67018.55
421,7.714762,-1.000000,0.000095,0.2732,982.25,66720.46
422,7.640801,-1.000000,0.000095,0.2385,982.75,66686.65
423,7.638604,-1.000000,0.000094,0.1955,982.96,66671.96
424,7.739304,-1.000000,0.000094,0.3030,981.56,66766.98
425,7.693989,-1.000000,0.000094,0.1994,981.72,66756.40
426,7.611522,-1.000000,0.000094,0.2538,977.88,67018.28
427,7.645954,-1.000000,0.000094,0.2481,982.26,66719.57
428,7.685577,-1.000000,0.000094,0.1978,977.45,67047.81
429,7.643833,-1.000000,0.000094,0.2224,980.90,66812.40
430,7.575985,-1.000000,0.000094,0.2614,980.15,66863.37
